time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789798859.1225266,1,4,0,11.4,70.4
1789798860.150769,1,4,0,2.2,70.4
1789798861.1591117,1,4,0,2.3,70.5
1789798862.166832,1,4,0,1.6,70.4
1789798863.1748135,1,4,0,1.7,70.4
1789798864.1826081,1,4,0,6.8,70.4
1789798865.190795,1,4,0,1.3,70.4
1789798866.198356,1,4,0,1.5,70.4
1789798867.2060976,1,4,0,0.7,70.4
1789798868.214251,1,4,0,2.1,70.4
1789798869.222975,1,4,0,0.7,70.4
1789798870.2317111,1,4,0,0.7,70.3
1789798871.2405362,1,4,0,1.3,70.3
1789798872.24928,1,4,0,0.9,70.3
1789798873.2575142,1,4,0,0.7,70.3
1789798874.2663727,1,4,0,1.0,70.3
1789798875.2751253,1,4,0,0.9,70.3
1789798876.2837617,1,4,0,1.2,70.3
1789798877.292802,1,4,0,0.7,70.2
1789798878.3014905,1,4,0,1.0,70.2
1789798879.310222,,,44,1.6,70.4
1789798883.3221178,21,9,40,1.2,70.4
1789798884.3313322,21,9,40,1.0,70.4
1789798885.3401625,21,9,40,0.7,70.4
1789798886.3491666,21,9,40,1.7,70.5
1789798887.358905,21,9,40,0.9,70.6
1789798888.3680332,21,9,40,0.6,70.6
1789798889.3770216,21,9,40,1.0,70.6
1789798890.385889,21,9,40,0.8,70.6
1789798891.3940449,21,9,40,1.2,70.6
1789798892.4026053,21,9,40,0.7,70.6
1789798893.4113927,21,9,40,4.4,70.7
1789798894.4196284,21,9,40,0.9,70.7
1789798895.427732,21,9,40,6.6,70.6
1789798896.4357746,21,9,40,1.2,70.6
1789798897.4446888,21,9,40,0.7,70.6
1789798898.4532304,21,9,40,0.9,70.6
1789798899.4618826,21,9,40,0.9,70.6
1789798900.4708254,21,9,40,1.1,70.6
1789798901.4794462,21,9,40,6.4,70.5
1789798902.48758,21,9,40,4.6,70.2
1789798903.4965696,21,9,40,0.8,70.1
1789798904.5056686,21,9,40,1.2,70.1
1789798905.5145757,21,9,40,1.0,70.1
1789798906.5231838,21,9,40,6.2,70.4
1789798907.5299675,21,9,40,5.3,70.3
1789798908.5390174,21,9,40,1.1,70.2
1789798909.5478194,21,9,40,0.6,70.2
1789798910.5565333,21,9,40,4.1,70.2
1789798911.5636623,21,9,40,7.3,70.1
1789798912.5714312,21,9,40,6.9,70.0
1789798913.5799637,21,9,40,7.0,70.0
1789798914.5887496,21,9,40,5.4,70.1
1789798915.5973804,21,9,40,1.7,70.1
1789798916.605538,21,9,40,1.8,70.1
1789798917.6137695,21,9,40,1.8,70.1
1789798918.6225653,21,9,40,14.1,70.1
1789798919.6299336,21,9,40,7.8,70.0
1789798920.6374893,21,9,40,7.9,70.2
1789798921.645477,21,9,40,7.1,70.1
1789798922.6524901,21,9,40,7.1,70.1
1789798923.6607387,21,9,40,13.4,70.6
1789798924.6693363,21,9,40,1.7,70.6
1789798925.677388,21,9,40,1.4,70.6
1789798926.6856775,21,9,40,2.1,70.4
1789798927.6938708,21,9,40,5.6,70.5
1789798928.7004175,21,9,40,8.7,70.6
1789798929.707469,21,9,40,7.7,70.6
1789798930.715214,21,9,40,7.3,70.6
1789798931.7239852,21,9,40,7.1,70.5
1789798932.7320008,21,9,40,4.7,70.5
1789798933.7401984,21,9,40,0.8,70.5
1789798934.7481296,21,9,40,1.5,70.4
1789798935.7573624,21,9,40,1.2,70.4
1789798936.7657309,21,9,40,1.2,70.4
1789798937.7743545,21,9,40,0.6,70.3
1789798938.7824337,21,9,40,16.2,70.7
1789798939.7900434,2,28,0,14.4,70.6
1789798940.7985933,2,27,0,4.8,70.5
1789798941.8070812,2,26,0,2.1,70.5
1789798942.81473,2,25,0,2.8,70.5
1789798943.8226197,2,24,0,2.6,70.3
1789798944.8305233,2,23,0,1.4,70.2
1789798945.8386073,2,22,0,3.8,70.2
1789798946.8464346,2,21,0,15.4,70.3
1789798947.8544776,2,20,0,9.6,70.6
1789798948.8607051,2,19,0,21.1,67.1
1789798949.8686996,2,18,0,18.4,66.9
1789798950.8770225,2,17,0,11.8,66.7
1789798951.8837714,2,16,0,17.4,66.6
1789798952.8917422,2,15,0,13.3,66.6
1789798953.898807,2,14,0,17.0,66.6
1789798954.9068923,2,13,0,15.4,66.6
1789798955.915777,2,12,0,13.9,66.6
1789798956.922247,2,11,0,22.1,67.2
1789798957.9348624,2,10,0,39.6,68.2
1789798958.941857,2,9,0,40.5,69.0
1789798959.9505131,1,9,0,26.2,69.8
1789798960.958234,1,9,0,23.8,70.3
1789798961.9648268,1,9,0,18.7,70.5
1789798962.971431,1,9,0,10.8,70.5
1789798963.9781673,1,9,0,4.2,70.4
1789798964.9865303,1,9,0,1.3,70.4
1789798965.9949796,1,9,0,6.3,70.4
1789798967.0019348,1,9,0,7.4,70.4
1789798968.0084262,1,9,0,5.0,70.4
1789798969.0162582,1,9,0,4.6,70.3
