time,busy_workers,idle_workers,open_connections,cpu_pct,mem_pct
1789763524.464662,1,9,0,9.4,66.0
1789763525.4914172,1,9,0,13.7,65.8
1789763526.5002267,1,9,0,10.8,66.2
1789763527.5091593,1,9,0,2.1,66.2
1789763528.517083,1,9,0,14.2,66.2
1789763529.5250695,1,9,0,10.6,66.2
1789763530.5315044,1,9,0,9.5,66.0
1789763531.539592,1,9,0,8.5,66.0
1789763532.5459,1,9,0,10.0,66.0
1789763533.552511,1,9,0,6.6,66.0
1789763534.5609915,1,9,0,14.0,65.8
1789763535.5702305,1,9,0,12.9,65.6
1789763536.5770388,1,9,0,10.2,65.6
1789763537.5856445,1,9,0,5.9,65.5
1789763538.5935054,1,9,0,26.6,66.1
1789763539.5992324,1,9,0,9.1,65.8
1789763540.605958,1,9,0,13.2,65.7
1789763541.6126342,1,9,0,15.4,65.6
1789763542.619018,1,9,0,10.7,65.6
1789763543.6271298,1,9,0,2.2,65.6
1789763544.635704,1,9,0,1.3,65.5
1789763545.6439884,1,9,0,1.0,65.5
1789763546.6524584,1,9,0,0.6,65.5
1789763547.6608684,1,9,0,0.4,65.5
1789763548.6697323,1,9,0,6.6,65.8
1789763549.6785595,1,9,0,0.9,65.8
1789763550.6875608,1,9,0,4.0,65.8
1789763551.6958315,1,9,0,0.6,65.7
1789763552.7043629,1,9,0,0.4,65.6
1789763553.7130075,1,9,0,0.5,65.6
1789763554.7211978,1,9,0,1.0,65.5
1789763555.7293668,1,9,0,0.6,65.5
1789763556.7380538,1,9,0,0.5,65.4
1789763557.7467675,1,9,0,0.3,65.4
1789763558.755501,1,9,0,0.6,65.4
1789763559.7644339,1,9,0,0.7,65.4
1789763560.7733624,1,9,0,0.4,65.3
1789763561.7819834,1,9,0,0.3,65.3
1789763562.7909172,1,9,0,0.4,65.3
1789763563.800079,1,9,0,0.3,65.3
1789763564.8088686,1,9,0,0.7,65.3
1789763565.8175,1,9,0,0.5,65.3
1789763566.8264031,1,9,0,0.4,65.3
1789763567.8353148,1,9,0,0.6,65.3
1789763568.8442483,1,9,0,0.3,65.3
1789763569.8532557,1,9,0,0.7,65.3
1789763570.861999,1,9,0,10.4,65.3
1789763571.8699622,1,9,0,2.2,65.3
1789763572.8775938,1,9,0,14.1,65.3
1789763573.8852298,1,9,0,21.6,65.3
1789763574.892464,1,9,0,5.1,65.3
1789763575.900004,1,9,0,23.2,65.3
1789763576.9082386,1,9,0,8.6,65.3
1789763577.9156623,1,9,0,4.7,65.4
1789763578.9242814,1,9,0,7.1,65.2
1789763579.9325082,1,9,0,10.9,64.7
1789763580.9407203,1,9,0,14.5,64.7
1789763581.9477813,1,9,0,10.5,64.8
1789763582.9551582,1,9,0,10.9,64.8
1789763583.9621253,1,9,0,8.7,64.7
1789763584.9696481,1,9,0,6.1,64.7
1789763585.977552,1,9,0,5.1,64.7
1789763586.98425,1,9,0,4.5,64.7
1789763587.9914014,1,9,0,8.2,64.7
1789763588.9985666,1,9,0,6.7,64.6
1789763590.006864,1,9,0,7.0,64.6
1789763591.0149748,1,9,0,8.9,64.6
1789763592.0235353,1,9,0,8.5,64.7
1789763593.0326471,1,9,0,9.1,64.7
1789763594.0405364,1,9,0,7.8,64.7
1789763595.0489163,1,9,0,7.7,64.7
1789763596.054608,1,9,0,5.0,64.8
1789763597.061019,1,9,0,4.4,64.7
1789763598.0700006,1,9,0,8.4,64.7
1789763599.0783062,1,9,0,8.7,64.7
1789763600.0866544,1,9,0,9.2,64.8
1789763601.0953188,1,9,0,8.8,64.8
1789763602.1035624,1,9,0,9.9,64.8
1789763603.111594,1,9,0,4.1,64.9
1789763604.1197147,1,9,0,4.3,64.9
1789763605.1259043,1,9,0,2.8,64.8
1789763606.1340263,1,9,0,15.1,64.8
1789763607.1409037,1,9,0,11.8,64.9
1789763608.1492174,1,9,0,6.9,64.9
1789763609.1570897,1,9,0,8.8,64.9
1789763610.1640136,1,9,0,6.2,64.8
1789763611.172308,1,9,0,21.8,65.2
1789763612.1790042,1,9,0,24.1,65.2
1789763613.1873074,1,9,0,9.5,65.3
1789763614.1948571,1,9,0,12.6,65.3
1789763615.2023501,1,9,0,7.3,65.3
1789763616.2113125,1,9,0,4.6,65.3
1789763617.2196267,1,9,0,1.8,65.5
1789763618.2282934,1,9,0,0.6,65.5
1789763619.2371902,1,9,0,1.2,65.4
1789763620.2460194,1,9,0,0.6,65.4
1789763621.2549133,1,9,0,0.5,65.3
1789763622.2630663,1,9,0,0.4,65.3
1789763623.2711859,1,9,0,0.4,65.3
1789763624.2797372,1,9,0,0.7,65.3
1789763625.2886827,1,9,0,0.6,65.3
1789763626.2970362,1,9,0,0.3,65.2
1789763627.3054953,1,9,0,3.3,65.2
1789763628.3123646,1,9,0,16.1,65.2
1789763629.319989,1,9,0,5.0,65.2
1789763630.3265316,1,9,0,2.6,65.2
1789763631.3348508,1,9,0,2.6,65.2
1789763632.3434932,1,9,0,2.8,65.2
1789763633.3519688,1,9,0,6.8,65.4
1789763634.359773,1,9,0,4.0,65.4
