Polling http://127.0.0.1:80/server-status?auto every 1.0s. Logging to results_defended/sweep_N200/logs/monitor_log.csv. Press Ctrl+C to stop.
[monitor] busy=1 idle=9 conns=0 cpu=8.8% mem=74.4%
[monitor] busy=1 idle=9 conns=0 cpu=1.9% mem=74.5%
[monitor] busy=1 idle=9 conns=0 cpu=1.7% mem=74.6%
[monitor] busy=1 idle=9 conns=0 cpu=1.0% mem=74.6%
[monitor] busy=1 idle=9 conns=0 cpu=0.9% mem=74.5%
[monitor] busy=1 idle=9 conns=0 cpu=1.2% mem=74.6%
[monitor] busy=1 idle=9 conns=0 cpu=3.8% mem=74.7%
[monitor] busy=1 idle=9 conns=0 cpu=7.7% mem=74.7%
[monitor] busy=1 idle=9 conns=0 cpu=6.9% mem=74.7%
[monitor] busy=1 idle=9 conns=0 cpu=7.4% mem=74.7%
[monitor] busy=1 idle=9 conns=0 cpu=7.6% mem=74.7%
[monitor] busy=1 idle=9 conns=0 cpu=6.4% mem=74.8%
[monitor] busy=1 idle=9 conns=0 cpu=1.3% mem=74.9%
[monitor] busy=1 idle=9 conns=0 cpu=0.9% mem=74.9%
[monitor] busy=1 idle=9 conns=0 cpu=0.9% mem=74.9%
[monitor] busy=1 idle=9 conns=0 cpu=0.8% mem=74.9%
[monitor] busy=1 idle=9 conns=0 cpu=1.2% mem=74.8%
[monitor] busy=1 idle=9 conns=0 cpu=12.3% mem=74.9%
[monitor] busy=1 idle=9 conns=0 cpu=2.3% mem=74.9%
[monitor] busy=1 idle=9 conns=0 cpu=1.3% mem=74.9%
[monitor] busy=10 idle=0 conns=18 cpu=5.7% mem=74.9%
[monitor] busy=10 idle=1 conns=18 cpu=5.3% mem=74.9%
[monitor] busy=10 idle=3 conns=18 cpu=3.3% mem=74.9%
[monitor] busy=10 idle=7 conns=18 cpu=1.4% mem=74.9%
[monitor] busy=10 idle=7 conns=18 cpu=0.9% mem=74.9%
[monitor] busy=10 idle=7 conns=18 cpu=0.9% mem=74.9%
[monitor] busy=10 idle=7 conns=18 cpu=1.6% mem=74.8%
[monitor] busy=10 idle=7 conns=18 cpu=1.2% mem=74.8%
[monitor] busy=10 idle=7 conns=18 cpu=1.1% mem=74.8%
[monitor] busy=10 idle=7 conns=18 cpu=1.1% mem=74.8%
[monitor] busy=10 idle=7 conns=18 cpu=0.7% mem=74.8%
[monitor] busy=10 idle=7 conns=18 cpu=1.5% mem=74.7%
[monitor] busy=1 idle=16 conns=18 cpu=1.1% mem=74.7%
[monitor] busy=2 idle=15 conns=18 cpu=0.9% mem=74.7%
[monitor] busy=2 idle=14 conns=18 cpu=1.0% mem=74.6%
[monitor] busy=2 idle=13 conns=18 cpu=1.2% mem=74.6%
[monitor] busy=2 idle=12 conns=18 cpu=8.2% mem=74.9%
[monitor] busy=2 idle=11 conns=18 cpu=1.6% mem=74.8%
[monitor] busy=2 idle=10 conns=18 cpu=0.7% mem=74.7%
[monitor] busy=2 idle=9 conns=18 cpu=7.3% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=4.8% mem=74.9%
[monitor] busy=1 idle=9 conns=18 cpu=1.5% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=1.1% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=10.9% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=8.4% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=26.4% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=7.6% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=25.8% mem=74.9%
[monitor] busy=1 idle=9 conns=18 cpu=8.1% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=11.1% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=6.7% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=1.7% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=1.2% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.5% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.7% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.8% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=1.0% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.7% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.9% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.7% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.5% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=1.2% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=0.5% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=0.6% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=0.5% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=0.5% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=1.1% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.7% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=0.4% mem=74.6%
[monitor] busy=1 idle=9 conns=18 cpu=0.9% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.6% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=1.1% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.4% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.6% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.3% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=0.7% mem=74.7%
[monitor] busy=1 idle=9 conns=18 cpu=1.2% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=0.4% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=0.6% mem=74.8%
[monitor] busy=1 idle=9 conns=18 cpu=0.5% mem=74.8%
[monitor] busy=1 idle=9 conns=9 cpu=1.7% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=1.6% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.8% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.6% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=1.1% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.6% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.9% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.6% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.6% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.7%
[monitor] busy=1 idle=9 conns=9 cpu=1.0% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.8% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.6% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=1.4% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.5% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.6%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.5%
[monitor] busy=1 idle=9 conns=9 cpu=0.8% mem=74.5%
[monitor] busy=1 idle=9 conns=10 cpu=4.4% mem=74.5%
[monitor] busy=1 idle=9 conns=9 cpu=0.7% mem=74.5%
[monitor] busy=1 idle=9 conns=9 cpu=0.6% mem=74.5%
